onset	duration	trial_type	offset	trial	block	blockCntr	frequency	amplitude_1	amplitude_2	amplitude_3	amplitude_4	amplitude_5	amplitude_6	amplitude_7	amplitude_8	transition	sham	mode	runNr	scanNr	subjectNr	target	eyeClosed	parms_1	parms_2	parms_3	sigma	nrBlinks	meanPupilArea
250.773623320997	4.02004663717747	VLPFC	254.793669958174	47	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
255.794706299901	4.01961115497352	VLPFC	259.814317454875	48	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
260.79854312706	4.01995425146816	VLPFC	264.818497378528	49	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
265.819261852503	4.01975608056779	VLPFC	269.839017933071	50	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	3	n/a
270.840105404317	4.01965100073812	VLPFC	274.859756405056	51	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
275.844030738354	4.02020813584323	VLPFC	279.864238874197	52	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	3	n/a
280.864846080899	4.01986433410644	VLPFC	284.884710415006	53	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
285.885518260837	4.02024586588146	VLPFC	289.905764126718	54	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
290.889650933743	4.01975220185517	VLPFC	294.909403135598	55	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
295.893679937184	4.01980015778543	VLPFC	299.913480094969	56	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
300.914394431233	4.02008507239816	VLPFC	304.934479503632	57	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
305.918377947092	4.02036928182844	VLPFC	309.93874722892	58	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	2	n/a
310.939253939748	4.01989395391939	VLPFC	314.959147893667	59	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
315.960227607369	4.01963266462087	VLPFC	319.97986027199	60	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	0	n/a
320.964302803636	4.01970036709309	VLPFC	324.984003170729	61	1	1	10	0	0	0	0	250	250	250	750	2000	0	BLOCKED	4	10	236	VLPFC	1	n/a	n/a	n/a	n/a	1	n/a
